place_id,6.9.2020,formatted_address,name
ChIJFYoeDXWLa4cR4dDQDWOZy10,OPERATIONAL,"2655 W Midway Blvd, Broomfield, CO 80020, USA",Bright Horizons
ChIJSYlCPICMa4cRNZUyR8I9fA0,CLOSED_TEMPORARILY,"575 Eldorado Blvd, Broomfield, CO 80021, USA",Bright Horizons Montessori at Interlocken
ChIJY7rtiNp4bIcR8YFOsidLTT4,CLOSED_TEMPORARILY,"1050 17th St Suite 201-B, Denver, CO 80202, USA",Bright Horizons Montessori on the Mall
ChIJGzV50A5_a4cRznzFwpPo9mQ,CLOSED_TEMPORARILY,"999 18th Street North Terrace, Ste 350, Denver, CO 80202, USA",Bright Horizons Montessori at Denver Place
ChIJETo3FP-GbIcR19OB3n1Di0I,CLOSED_TEMPORARILY,"8101 E Belleview Ave Unit T-20, Denver, CO 80237, USA",Bright Horizons Montessori at the Marina
ChIJSx7VA3-AbIcRsCg9jYNsysM,OPERATIONAL,"5889 South Greenwood Plaza Blvd, Plaza West Suite 100, Englewood, CO 80111, USA",Bright Horizons Montessori at Greenwood Plaza
ChIJW_A3kYeGbIcRyqWVHWJitws,CLOSED_TEMPORARILY,"6560 South, Greenwood Plaza Blvd Unit 20, Greenwood Village, CO 80111, USA",Bright Horizons Montessori at Fiddler's Green
ChIJ81dqIFtjbIcRK0Sc9a0JtWA,OPERATIONAL,"2255 Wheeling St, Aurora, CO 80010, USA",Fitzsimons Early Learning Center
ChIJrYf4viG4t4kRbLNjGpbhYAk,OPERATIONAL,"888 First St NE #100, Washington, DC 20426, USA",Bright Horizons
ChIJ04GGfr23t4kR1HRbKQAa4F4,OPERATIONAL,"655 15th St NW, Washington, DC 20005, USA",Bright Horizons At Metro Square
ChIJt4IBrJO3t4kReFVqLN6XgrI,CLOSED_TEMPORARILY,"901 New York Ave NW Suite 100W, Washington, DC 20001, USA",Bright Horizons Early Education and Back-up Center at East
ChIJnSgMVSNItokREz2dna_gBwM,CLOSED_TEMPORARILY,"Plaza America Dr, Reston, VA 20190, USA",Bright Horizons At Reston Plaza America
ChIJ60exwT-c44kR7GHSBjm3q7M,OPERATIONAL,"5 Forbes Road Suite #2 (rear, Lexington, MA 02421, USA",Bright Horizons Family Solutions
ChIJeUH0a4Jw44kRPj8eCds9VKM,OPERATIONAL,"1 International Pl, Boston, MA 02110, USA",Bright Horizons
ChIJF2BJY5J544kRy_mZMZ1ZbVc,CLOSED_TEMPORARILY,"21 Autumn St, Boston, MA 02215, USA",Bright Horizons
ChIJw5ciE7ZmZIgRop_wB8udpXM,OPERATIONAL,"2606 Charlotte Ave, Nashville, TN 37209, USA",HCA/Centennial Development
ChIJgQh_GHxEZIgReF4zeMNWaeY,OPERATIONAL,"100 Mission Ridge, Goodlettsville, TN 37072, USA",Dollar General's Child Development Center
ChIJK01f1C8tO4gRDqx9MXR5K-A,OPERATIONAL,"Compuware World Headquarters, Portside Ballroom, Detroit, MI 48226, USA",Bright Horizons
ChIJl3s1cWnFyIAROg-qbZYw3Xw,OPERATIONAL,"Las Vegas, NV 89109, USA",Bright Horizons Daycare
ChIJd_UjpPnQyIAR9G5HjIP3S-4,OPERATIONAL,"1310 W Warm Springs Rd, Henderson, NV 89014, USA",Bright Horizons at Sunset Station
ChIJ6Q-uWilzaYgR1CLYogURkks,CLOSED_TEMPORARILY,"600 Dr Martin Luther King Jr Pl, Louisville, KY 40202, USA",Bright Horizons
ChIJvXq9ZogMaYgRXddXnVk7NQ0,CLOSED_TEMPORARILY,"1900 Colonel Sanders Ln, Louisville, KY 40213, USA",Bright Horizons
ChIJ9cyGjn0EyIkRbaCHlaLKN8o,OPERATIONAL,"98 N Broadway #1, Baltimore, MD 21231, USA",Bright Horizons
ChIJk6fZ0kO09IgRmXA-Mj-u7aA,OPERATIONAL,"133 Peachtree St # 1, Atlanta, GA 30303, USA",Bright Horizons
ChIJufs3VOr59IgR9AZ94dtfLqE,OPERATIONAL,"9064 Mandarin Dr, Jonesboro, GA 30236, USA",Bright Horizons
ChIJbcw181oE9YgR28N-atOtZkE,OPERATIONAL,"1316 W Peachtree St NW, Atlanta, GA 30309, USA",Bright Horizons
ChIJKes_a3FX9IgRnZMPwyqX2fY,CLOSED_TEMPORARILY,"2480 Patrick Henry Pkwy, McDonough, GA 30253, USA",Bright Horizons
ChIJX2Nqa3FX9IgRnPRA3cRVzhw,OPERATIONAL,"2480 Patrick Henry Pkwy, McDonough, GA 30253, USA",Bright Generations Henry County
ChIJleCwILnj9IgRYQHURbAgdhE,OPERATIONAL,"5180 Buffington Rd, Atlanta, GA 30349, USA",Jeannette Cathy Children's Center
ChIJNa-gOTEJ9YgRCRB4o8VanGc,OPERATIONAL,"1198 Old Johnson Ferry Rd NE, Atlanta, GA 30319, USA",New Generations Child Development Center
ChIJU71kCWUE9YgR2j0joB176s0,CLOSED_TEMPORARILY,"644 W Peachtree St NW, Atlanta, GA 30308, USA",The Children's Center at All Saints'
ChIJe2g0-1wE9YgR_laflZPi-A4,OPERATIONAL,"1073 W Peachtree St NE, Atlanta, GA 30309, USA",Children's Campus Alstoon & Bird LLC
ChIJYQT7_4MD9YgRxRdyd7Ywv3w,OPERATIONAL,"100 Alabama St SW, Atlanta, GA 30303, USA",Children's Choice Learning Center at Atlanta Federal Center
ChIJJeT_U1U99YgRyvxaz0430R0,OPERATIONAL,"3950 Hospital W Dr, Austell, GA 30106, USA",The Children's Nest Wellstar Cobb
ChIJHSg3cU0F9YgREaxz5_aPvOw,CLOSED_TEMPORARILY,"300 Central Park Pl NE, Atlanta, GA 30312, USA",Bright Generations Downtown
ChIJ-9CrH7KPk4cRYoObp-41PU8,OPERATIONAL,"1616 Capitol Ave, Omaha, NE 68102, USA",Bright Horizons
ChIJbYgMW7GPk4cRgkUR7sz2eU4,OPERATIONAL,"1425 Chicago St, Omaha, NE 68102, USA",First National Child Development Center
ChIJn06yRALkrIkR69_JkSW1Qno,OPERATIONAL,"511 Alexander Ave, Durham, NC 27705, USA",Bright Horizons
ChIJg-vnx6lZrIkRKs4d1YTDIFk,OPERATIONAL,"4412 Pamlico Dr, Raleigh, NC 27609, USA",Bright Horizon Oak City Family Care Home
ChIJ0ea7a53trIkRYgQe9gIzDtA,OPERATIONAL,"2500 Highstone Rd, Cary, NC 27519, USA",Bright Horizons
ChIJ6dNpwMX3rIkRtS5_1x28gQc,OPERATIONAL,"3324 Lake Boone Trail, Raleigh, NC 27607, USA",Bright Horizon at Lake Boone
ChIJOXnA46L1rIkRUXe2ZJ3s8jA,OPERATIONAL,"Raleigh, NC 27695, USA",North Carolina State University
ChIJfzLrAbLmrIkRjaMc7lUWH7I,OPERATIONAL,"Durham, NC 27708, USA",Duke University
ChIJKY-dq5Pe3IARYG_0ff92gMw,OPERATIONAL,"2010 Main St #120, Irvine, CA 92614, USA",Bright Horizons - Back-Up Care Center
ChIJzwpUCZyAhYAR5MtDTdCD-6Y,CLOSED_TEMPORARILY,"1390 Market St # 240, San Francisco, CA 94102, USA",Bright Horizons
ChIJyW_wT2yQhYARY46It80fYEk,OPERATIONAL,"322 Throckmorton Ave, Mill Valley, CA 94941, USA",Bright Horizons
ChIJmQaMSYqAhYARIRtiDuMsuOQ,OPERATIONAL,"555 California St #6, San Francisco, CA 94104, USA",Bright Horizons
ChIJgR0d27iej4AR8-EgTKgYtzM,CLOSED_TEMPORARILY,"301 Velocity Way, Foster City, CA 94404, USA",Bright Horizons at Gilead
