Names,Addresses,Websites,6.4.2020,6.5.2020,6.8.2020,6.9.2020,6.10.2020,6.12.2020,6.13.2020,6.15.2020,6.16.2020,6.17.2020,6.18.2020,6.19.2020,6.23.2020,6.24.2020,6.25.2020,6.26.2020,6.29.2020,6.30.2020,7.1.2020,7.2.2020,7.6.2020,7.7.2020,7.8.2020,7.13.2020,7.15.2020,7.17.2020,7.20.2020,7.22.2020,7.24.2020,7.27.2020,8.5.2020,8.7.2020
Bright Horizons EDS Tam Valley,"350 Bell Lane,Mill Valley, CA 94941",https://www.brighthorizons.com/edstamvalley,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Early Education and Back-Up Center at Tysons Corner,"8405 Greensboro Drive, Suite P100,McLean, VA 22102",https://www.brighthorizons.com/tysons,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Early Education and Back-up Center at East End,"901 New York Ave., NW,Washington, DC 20001",https://www.brighthorizons.com/eastend,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Early Education and Child Care,"8250 Warden Avenue,Markham, Ontario L6G 1B4",https://www.brighthorizons.com/markham,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Early Learning Center of Sioux Falls,"4800 North 4th Avenue,Sioux Falls, SD 57104",https://www.brighthorizons.com/cscfamilysd,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
Bright Horizons Family Center at ASU Research Park,"7660 S. Research Dr.,Tempe, AZ 85284",https://www.brighthorizons.com/tempe,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Family Center at Braker Lane,"2411 W Braker Lane,Austin, TX 78758",https://www.brighthorizons.com/ibmbrakerlane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Family Center at Chandler,"1151 W. Ray Rd,Chandler, AZ 85224",https://www.brighthorizons.com/chandler,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Family Center at Del Mar,"3720 Arroyo Sorrento Road,San Diego, CA 92130",https://www.brighthorizons.com/delmar,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Family Center at Oak Hill,"6111 Davis Lane,Austin, TX 78749",https://www.brighthorizons.com/oakhill,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Family Center at Oak Hill,"6111 Davis Lane,Austin, TX 78749",https://www.brighthorizons.com/oakhill,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons West Campus,"3003 NorthupWay,Bellevue, WA 98004",https://www.brighthorizons.com/west,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at  West Village,"644 Greenwich St.,New York, NY 10014",https://www.brighthorizons.com/westvillage,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at 1111 Pennsylvania Avenue,"1111 Pennsylvania Avenue NW,Washington, DC 20004",https://www.brighthorizons.com/1111penn,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at 1700 Montgomery Street,"1700 Montgomery Street,San Francisco, CA 94111",https://www.brighthorizons.com/1700montgomery,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at 20 Pine,"20 Pine Street,New York, NY 10005",https://www.brighthorizons.com/20pine,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at 221 Main,"221 Main Street,San Francisco, CA 94105",https://www.brighthorizons.com/221main,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at 2nd Street,"303 2nd St. 2nd floor,San Francisco, CA 94107",https://www.brighthorizons.com/2ndstreet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at 345 Adams Street,"345  Adams Street,Brooklyn, NY 11201",https://www.brighthorizons.com/adamsstreet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Abacoa,"1033 Dakota Drive,Jupiter, FL 33458",https://www.brighthorizons.com/abacoa,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at All Saints',"644 W. Peachtree St. NW,Atlanta, GA 30308",https://www.brighthorizons.com/allsaints,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Allegheny General Hospital,"621 East North Avenue,Pittsburgh, PA 15212",https://www.brighthorizons.com/agh,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Apex,"2051 Shepherd's Vineyard Dr.,Apex, NC 27502",https://www.brighthorizons.com/apex,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Atlantic Station,"1381 Market Street,Atlanta, GA 30363",https://www.brighthorizons.com/atlanticstation,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Back Bay,"210 Berkeley Street,Boston, MA 02116",https://www.brighthorizons.com/backbay,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Baldwin Park,"1700 Fire House Lane,Orlando, FL 32814",https://www.brighthorizons.com/baldwinpark,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Ballard Blocks,"1401 NW 46th Street,Seattle, WA 98107",,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Ballston,"4001 North Fairfax Drive,Arlington, VA 22203",https://www.brighthorizons.com/ballston,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Banner Baywood,"6435 East Baywood Avenue,Mesa, AZ 85206",https://www.brighthorizons.com/banner,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Banner Boswell,"10457 W. Thunderbird Blvd.,Sun City, AZ 85351",https://www.brighthorizons.com/boswell,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bayer,"921 Parker Street,Berkeley, CA 94710",https://www.brighthorizons.com/bayerca,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Beacon Hill,"100 Cambridge Street, Suite 104,Boston, MA 02114",https://www.brighthorizons.com/beaconhill,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bedford,"54 Constitution Dr.,Bedford, NH 03110",https://www.brighthorizons.com/bedford,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bee Cave,"14058 Bee Cave Parkway,Bee Cave, TX 78738",https://www.brighthorizons.com/beecave,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,
Bright Horizons at Bellefair,"38 Belle Fair Blvd.,Rye Brook, NY 10573",https://www.brighthorizons.com/bellefair,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bellevue,"505 106th Ave NE Suite 100,Bellevue, WA 98004",https://www.brighthorizons.com/bellevue,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bellevue Spring District ,"1227 121st Place NE,Bellevue, WA 98005",https://www.brighthorizons.com/springdistrict,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Belltown,"2124 7th Ave.,Seattle, WA 98121",https://child-care-preschool.brighthorizons.com/wa/seattle/belltown,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Beverly Cummings Center ,"100 Cummings Center,Beverly, MA 01915",https://www.brighthorizons.com/beverly,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bishop Ranch,"2603 Camino Ramon,San Ramon, CA 94583",https://www.brighthorizons.com/bishopranch,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bloomington,"2432 Maloney,Bloomington, IL 61704",https://www.brighthorizons.com/bloomington,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Boca Raton,"10085 Yamato Road,Boca Raton, FL 33498",https://www.brighthorizons.com/discoveryboca,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Boone Boulevard,"1919 Gallows Rd., Suite P100,Vienna, VA 22182",https://www.brighthorizons.com/boone,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bothell,"19801 North Creek Parkway,Bothell, WA 98011",https://www.brighthorizons.com/bothell,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Boxborough,"20 Codman Hill Road,Boxborough, MA 01719",https://www.brighthorizons.com/boxborough,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Boynton Beach,"1490 Gateway Blvd.,Boynton Beach, FL 33426",https://www.brighthorizons.com/boynton,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Braintree Hill,"25 Braintree Hill Office Park,Braintree, MA 02184",https://www.brighthorizons.com/braintreehill,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Brickstone,"400 Brickstone Square,Andover, MA 01810",https://www.brighthorizons.com/brickstone,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Bright Beginnings Learning Center,"1900 23rd Street S,Great Falls, MT 59405",https://www.brighthorizons.com/greatfallscollegemsu,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,
Bright Horizons at Bright Meadow,"5 Bright Meadow Blvd,Enfield, CT 06082",https://www.brighthorizons.com/brightmeadow,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Brighton,"39 Brighton Avenue,Allston, MA 02134",https://www.brighthorizons.com/brighton,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Bright Horizons at Brookline,"138 Harvard Street,Brookline, MA 02446",https://www.brighthorizons.com/brookline,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Buckhead,"3575 Piedmont Road NE,Atlanta, GA 30305",https://www.brighthorizons.com/buckhead,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Capital City,"277 East Town Street,Columbus, OH 43215",https://www.brighthorizons.com/capitalcity,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Carillon,"227 West Trade Street,Charlotte, NC 28202",https://www.brighthorizons.com/carillon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Carnegie Center,"201 Carnegie Center Drive,Princeton, NJ 08540",https://www.brighthorizons.com/carnegie,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Center City,"1601 Market Street,Philadelphia, PA 19103",https://www.brighthorizons.com/centercity,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Centerpoint,"20809 72nd Ave S.,Kent, WA 98032",https://www.brighthorizons.com/kent,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Charlestown,"55 Constitution Road,Charlestown, MA 02129",https://www.brighthorizons.com/charlestown,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Chelsea,"258 West 26th Street,New York, NY 10001",https://www.brighthorizons.com/chelsea,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Christiana ,"950 Samoset Drive,Newark, DE 19713",https://www.brighthorizons.com/christiana,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Clybourn,"1425 North Dayton,Chicago, IL 60642",https://www.brighthorizons.com/chalk-preschools-clybourn,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Coconut Creek,"5601 Regency Lakes Blvd.,Coconut Creek, FL 33073",https://www.brighthorizons.com/coconutcreek,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Collegeville,"1075 Egypt Road,Phoenixville, PA 19460",https://www.brighthorizons.com/collegeville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
