Names,Addresses,Websites,6.4.2020,6.5.2020,6.8.2020,6.9.2020,6.10.2020,6.12.2020,6.13.2020,6.15.2020,6.16.2020,6.17.2020,6.18.2020,6.19.2020,6.23.2020,6.24.2020,6.25.2020,6.26.2020,6.29.2020,6.30.2020,7.1.2020,7.2.2020,7.6.2020,7.7.2020,7.8.2020,7.13.2020,7.15.2020,7.17.2020,7.20.2020,7.22.2020,7.24.2020,7.27.2020,8.5.2020,8.7.2020
Bright Horizons at East 46th,"127 East 46th Street,New York, NY 10017",https://www.brighthorizons.com/east46th,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at East Brunswick,"635 Cranbury Road,East Brunswick, NJ 08816",https://www.brighthorizons.com/eastbrunswick,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,
Bright Horizons at East Fort Collins,"2815 Iowa Drive,Fort Collins, CO 80525",https://www.brighthorizons.com/eastfortcollins,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at East Longmont,"919 Deerwood Dr.,Longmont, CO 80504",https://www.brighthorizons.com/elongmont,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at East Village,"526 East 14th Street,New York, NY 10009",https://www.brighthorizons.com/eastvillage,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Emmaus,"420 South 10th Street,Emmaus, PA 18049",https://child-care-preschool.brighthorizons.com/pa/emmaus/rodale,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Encinitas,"1430 Amargosa,Encinitas, CA 92024",https://www.brighthorizons.com/encinitas,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Enterprise Corporate Towers,"Three Corporate Drive,Shelton, CT 06484",https://www.brighthorizons.com/ect,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Evanston,"1629 Orrington Avenue,Evanston, IL 60201",https://www.brighthorizons.com/evanston,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Everett,"2929 North Boeing Perimeter Road,Everett, WA 98204",https://www.brighthorizons.com/everett,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Fairfield,"682 Commerce Drive,Fairfield, CT 06824",https://www.brighthorizons.com/fairfield,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Fan Pier,"19 Bond Drive,Boston, MA 02210",https://www.brighthorizons.com/fanpier,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at First Stamford Place,"300 First Stamford Place,Stamford, CT 06902",https://www.brighthorizons.com/stamford,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Fishkill,"23 Donovan Drive,Hopewell Junction, NY 12533",https://www.brighthorizons.com/fishkill,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Fourth and Madison,"925 4th Avenue Suite 200,Seattle, WA 98104",https://www.brighthorizons.com/fourthandmadison,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Foxboro,"143 Green Street,Foxboro, MA 02035",https://www.brighthorizons.com/foxboro,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Franklin Industrial Park,"2 Constitution Blvd,Franklin, MA 02038",https://www.brighthorizons.com/franklin,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Garner,"2275 North Loop Road,Alameda, CA 94502",https://www.brighthorizons.com/garner,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Bright Horizons at Georgetown, DC","1010 Wisconsin Avenue,Georgetown, DC 20007",https://www.brighthorizons.com/georgetowndc,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Giralda Farms,"5A Giralda Farms,Madison, NJ 07940",https://www.brighthorizons.com/giralda,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Glenlake,"One Glenlake Parkway,Atlanta, GA 30328",https://www.brighthorizons.com/thegreenhouse,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Glenmaura Corporate Center,"99 Glenmaura National Boulevard,Moosic, PA 18507",https://www.brighthorizons.com/glenmaura,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Hall Boulevard,"1355 Hall Boulevard,Bloomfield, CT 06002",https://www.brighthorizons.com/bloomfield,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Harborview,"One Courthouse Way,Boston, MA 02210",https://www.brighthorizons.com/harborview,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Bright Horizons at Harrison Park,"800 Weston Pkwy,Cary, NC 27513",https://www.brighthorizons.com/harrisonpark,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Henrico,"120 Towne Center West Boulevard,Richmond, VA 23233",https://www.brighthorizons.com/henrico,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,
Bright Horizons at Henrico,"7704 E. Parham Road,Richmond, VA 23294",,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at High Ridge Park,"4 High Ridge Park,Stamford, CT 06905",https://www.brighthorizons.com/highridge,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Hillside,"80 Lomita Drive,Mill Valley, CA 94941",https://www.brighthorizons.com/hillside,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Hoffman Estates,"5334 Sears Parkway,Hoffman Estates, IL 60192",https://www.brighthorizons.com/sears,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Hudson Yards,"529A W. 29th Street,New York, NY 10001",https://www.brighthorizons.com/hudsonyards,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Hunter's Green,"18002 Hunter's Oak Court,Tampa, FL 33647",https://www.brighthorizons.com/huntersgreen,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at IBM Drive,"6901 IBM Drive,Charlotte, NC 28262",https://www.brighthorizons.com/ibmdrive,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Imperial Center,"1012 Slater Road,Durham, NC 27703",https://www.brighthorizons.com/imperial,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Inova Fairfax,"3310 Gallows Road,Falls Church, VA 22042",https://www.brighthorizons.com/inovafairfax,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Inova Mount Vernon,"2501 Parker's Lane,Alexandria, VA 22306",https://www.brighthorizons.com/inovamtvernon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Interbay,"1570 West Armory Way,Seattle, WA 98119",https://www.brighthorizons.com/interbay,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Issaquah,"35 NE Gilman Boulevard,Issaquah, WA 98027",https://www.brighthorizons.com/issaquah,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Kansas Street,"200 Kansas Street,San Francisco, CA 94103",https://www.brighthorizons.com/kastreet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Kemper Lakes,"One Corporate Drive, Suite 180,Lake Zurich, IL 60047",https://www.brighthorizons.com/Kemperlakes,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Kendall Park,"10 Gateway Boulevard,Kendall Park, NJ 08824",https://www.brighthorizons.com/kendallpark,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,
Bright Horizons at Kendall Square,"286 Cardinal Medeiros Avenue,Cambridge, MA 02141",https://www.brighthorizons.com/oks,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,
Bright Horizons at Kent Avenue,"175 Kent Avenue,Brooklyn, NY 11211",https://www.brighthorizons.com/kentave,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at King of Prussia,"3200 Horizon Drive,King of Prussia, PA 19406",https://www.brighthorizons.com/kofp,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Kirkland,"520 Kirkland Way,Kirkland, WA 98033",https://www.brighthorizons.com/kirkland,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at L Street,"2101 L Street Northwest Suite 104,Washington, DC 20037",https://www.brighthorizons.com/lstreet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lake Cook,"1650 Lake Cook Road,Deerfield, IL 60015",https://www.brighthorizons.com/lakecook,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lakeshore East,"360 E South Water Street,Chicago, IL 60601",https://www.brighthorizons.com/chalk-preschools-lakeshore,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lakeview,"2840 North Lincoln Avenue,Chicago, IL 60657",https://www.brighthorizons.com/chalk-preschools-lakeview,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Landmark,"401 Park Drive, 4th Floor West,Boston, MA 02215",https://www.brighthorizons.com/landmark,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lawrenceville,"222 Federal City Road,Lawrenceville, NJ 08648",https://www.brighthorizons.com/lawrenceville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,
Bright Horizons at Lebanon,"1388 Route 22 West,Lebanon, NJ 08833",https://www.brighthorizons.com/lebanon,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Legacy,"6501 Legacy Drive,Plano, TX 75024",https://www.brighthorizons.com/legacy,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Letterman Digital Arts Child Care Center,"One Letterman Drive Bldg. B,San Francisco, CA 94129",https://www.brighthorizons.com/ldac,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lexington,"903 Waltham Street,Lexington, MA 02421",https://www.brighthorizons.com/lexington,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,
Bright Horizons at Lincoln Harbor,"1000 Harbor Boulevard,Weehawken , NJ 07086",https://www.brighthorizons.com/lincolnharbor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lisle,"4225 Naperville Rd Suite 170,Lisle, IL 60532",https://www.brighthorizons.com/lisle,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Long Island City,"42-09 28th Street,Long Island City, NY 11101",https://www.brighthorizons.com/licity,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Longacres,"1900 Oakesdale Ave SW,Renton, WA 98057",https://www.brighthorizons.com/longacres,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Los Gatos,"220 Belgatos Road (Near Leigh &amp; Blossom Hill),Los Gatos, CA 95032",https://www.brighthorizons.com/losgatos,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Bright Horizons at Louisville, Colorado","1818 Centennial Drive,Louisville, CO 80027",https://www.brighthorizons.com/louisville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
"Bright Horizons at Louisville, Kentucky","632 South Fourth Street,Louisville, KY 40202",https://www.brighthorizons.com/downtownlouisville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Loveland,"2420 West 8th Street,Loveland, CO 80537",https://www.brighthorizons.com/loveland,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Lyndhurst,"9 Polito Avenue,Lyndhurst, NJ 07071",https://www.brighthorizons.com/lyndhurst,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at MGM,"3799 S. Las Vegas Blvd.,Las Vegas, NV 89109",https://www.brighthorizons.com/mgm,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,
Bright Horizons at Marin Blvd Jersey City,"201 Marin Blvd,Jersey City, NJ 07302",https://www.brighthorizons.com/marinblvdjc,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Marin Commons,"1600 Los Gamos Drive, Suite 230, Lobby C,San Rafael, CA 94903",https://www.brighthorizons.com/marincommons,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Mass Ave.,"2465 Mass Ave.,Cambridge, MA 02140",https://www.brighthorizons.com/massave,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Maxwell Place,"1155 Maxwell Lane,Hoboken, NJ 07030",https://www.brighthorizons.com/maxwellplace,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Meadowvale,"7030 Royal Bank Drive,Mississauga, Ontario L5N 0B6",https://www.brighthorizons.com/meadowvale,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Bright Horizons at Medical City Lewisville,"423 Elm Street,Lewisville, TX 75057",https://www.brighthorizons.com/lewisville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,
Bright Horizons at Mercer Island,"9555 SE 36th Street,Mercer Island, WA 98040",https://www.brighthorizons.com/mercerisland,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Midtown Detroit,"1110 Seward,Detroit, MI 48202",https://www.brighthorizons.com/midtowndetroit,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Midtown West,"406 West 55th Street,New York, NY 10019",https://child-care-preschool.brighthorizons.com/ny/newyork/midtownwest,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Military Trail,"7245 S. Military Trail,Lake Worth, FL 33463",https://www.brighthorizons.com/militarytrail,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Mill Valley,"10 Old Mill Street,Mill Valley, CA 94941",https://www.brighthorizons.com/mdsmillvalley,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Mount Olive,"101 Route 206 South,Flanders, NJ 07836",https://www.brighthorizons.com/mountolive,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Mount Prospect,"1020 Hunt Club Drive,Mount Prospect, IL 60056",https://www.brighthorizons.com/mountprospect,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Naperville,"550 East Diehl Rd,Naperville, IL 60563",https://www.brighthorizons.com/naperville,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Natick,"313 Speen Street,Natick, MA 01760",https://www.brighthorizons.com/natick,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at New York Presbyterian Hospital Uptown,"61 Haven Avenue,New York, NY 10032",https://www.brighthorizons.com/nypres,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at New York Presbyterian Midtown,"435 E. 70th St.,New York, NY 10021",https://www.brighthorizons.com/nyh,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Newbury School,"1305 Riedel Road,Gambrills, MD 21054",https://www.brighthorizons.com/newburyschool,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,
Bright Horizons at Newburyport,"2 Henry Graf Jr. Road,Newburyport, MA 01950",https://www.brighthorizons.com/newburyport,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Newport Beach,"2500 W. Coast Highway,Newport Beach, CA 92663",https://www.brighthorizons.com/newportbeach,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Newton,"320 Needham Street, Suite #150,Newton, MA 02464",https://www.brighthorizons.com/newton,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Nissan,"8900 Freeport Parkway,Irving, TX 75063",https://www.brighthorizons.com/nissan,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at North Durham,"4205 Capitol St,Durham, NC 27704",https://www.brighthorizons.com/northdurham,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at North Kennicott,"3523 North Kennicott Avenue,Arlington Heights, IL 60004",https://www.brighthorizons.com/northkennicott,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Northbrook,"1101 Techny Road,Northbrook, IL 60062",https://www.brighthorizons.com/northbrook,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Norwell,"77 Longwater Drive,Norwell, MA 02061",https://www.brighthorizons.com/norwell,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Oak Brook,"1520 Kensington Rd. Suite 103,Oak Brook, IL 60523",https://www.brighthorizons.com/oakbrook,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Ocean Park,"3350 Ocean Park Boulevard,Santa Monica, CA 90405",https://www.brighthorizons.com/oceanpark,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Ogden ,"1160 West 12th Street,Ogden, UT 84409",https://www.brighthorizons.com/ogden,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,
Bright Horizons at Old Town Alexandria,"411 John Carlyle Street,Alexandria, VA 22314",https://www.brighthorizons.com/alexandria,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at One Enterprise Drive,"One Enterprise Drive NA,Quincy, MA 02171",https://www.brighthorizons.com/bcbsma,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Orange,"284 Silverbrook Road,Orange, CT 06477",https://www.brighthorizons.com/orange,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Parkway North,"5 ParkWay North,Deerfield, IL 60015",https://www.brighthorizons.com/parkwaynorth,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Parsippany,"11 Dryden Way,Parsippany, NJ 07054",https://www.brighthorizons.com/parsippany,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Pembroke,"334 Old Oak St.,Pembroke, MA 02359",https://www.brighthorizons.com/pembroke,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Pequea Valley,"166 South New Holland Road,Kinzers, PA 17535",https://www.brighthorizons.com/pequeavalley,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Pewaukee,"2240 Golf Road,Pewaukee, WI 53072",https://www.brighthorizons.com/pewaukee,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Philadelphia,"401 N 21st Street,Philadelphia, PA 19130",https://www.brighthorizons.com/bhp,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Philadelphia Cathedral,"23 South 38th Street,Philadelphia, PA 19104",https://www.brighthorizons.com/PhilCathedral,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Phillips Academy,"10 Abbot St.,Andover, MA 01810",https://www.brighthorizons.com/phillips,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Pioneer Square,"101 6th Ave S,Seattle, WA 98104",https://www.brighthorizons.com/pioneersquare,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Plaza 3- Waterfront,"152 Plaza 3,Jersey City, NJ 07311",https://www.brighthorizons.com/plaza3jc,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Plaza of the Americas,"700 North Pearl Street,Dallas, TX 75201",https://www.brighthorizons.com/americas,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Portland,"2195 Congress St.,Portland, ME 04102",https://www.brighthorizons.com/portland,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Poughkeepsie,"15 Golf Club Lane,Poughkeepsie, NY 12601",https://www.brighthorizons.com/poughkeepsie,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Prides Crossing,"1089 Prides Crossing,Newark, DE 19713",https://www.brighthorizons.com/pridescrossing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Raleigh Corporate Center,"800 Corporate Center Drive,Raleigh, NC 27607",https://www.brighthorizons.com/rcc,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Redmond,"14860 NE 31st Circle,Redmond, WA 98052",https://www.brighthorizons.com/redmond,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons at Redwood City,"403 Winslow Street,Redwood City, CA 94063",https://www.brighthorizons.com/redwoodcity,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
